"","datetime","ptt","lat","lon","altitude","light_phase"
"64",2018-08-04 15:53:00,174962,74.00257139,-105.3549706,27.2596024491974,"day"
"65",2018-08-04 16:08:00,174962,74.00830874,-105.3571302,28.0665288886304,"day"
"66",2018-08-04 16:23:00,174962,74.01010976,-105.3641337,28.8287566680118,"day"
"67",2018-08-04 16:38:00,174962,74.01049567,-105.3720298,29.5417783286573,"day"
"68",2018-08-04 16:53:00,174962,74.01266348,-105.3762927,30.2000596091624,"day"
"69",2018-08-04 17:08:00,174962,74.01550532,-105.379182,30.7999366155133,"day"
"70",2018-08-04 17:23:00,174962,74.01828087,-105.3808931,31.3382781897289,"day"
"71",2018-08-04 17:38:00,174962,74.0210296,-105.3837066,31.8114041008684,"day"
"72",2018-08-04 17:53:00,174962,74.0238467,-105.3915269,32.2159035402185,"day"
"73",2018-08-04 18:08:00,174962,74.02666352,-105.3993498,32.5499111754039,"day"
"74",2018-08-04 18:23:00,174962,74.02728763,-105.4145377,32.8129181262833,"day"
"75",2018-08-04 18:38:00,174962,74.02537251,-105.4356144,33.0041205410015,"day"
"76",2018-08-04 18:53:00,174962,74.0235548,-105.453213,33.1202243878603,"day"
"77",2018-08-04 19:08:00,174962,74.02074644,-105.4591488,33.1612868095193,"day"
"78",2018-08-04 19:23:00,174962,74.01822289,-105.4646832,33.125226935445,"day"
"79",2018-08-04 19:38:00,174962,74.01655685,-105.4702345,33.0116808528182,"day"
"80",2018-08-04 19:53:00,174962,74.01492511,-105.4710832,32.8219360604143,"day"
"81",2018-08-04 20:08:00,174962,74.01358785,-105.4769958,32.557506212146,"day"
"82",2018-08-04 20:23:00,174962,74.01266782,-105.4769954,32.2192514045945,"day"
"83",2018-08-04 20:38:00,174962,74.01174778,-105.476995,31.810154401875,"day"
"84",2018-08-04 20:53:00,174962,74.01082775,-105.4769946,31.3328512486218,"day"
"85",2018-08-04 21:08:00,174962,74.00990771,-105.4769943,30.7903513805272,"day"
"86",2018-08-04 21:23:00,174962,74.00898768,-105.4769939,30.1859908883659,"day"
"87",2018-08-04 21:38:00,174962,74.00806764,-105.4769935,29.5233847070943,"day"
"88",2018-08-04 21:53:00,174962,74.00809814,-105.4739974,28.8051248747683,"day"
"89",2018-08-04 22:08:00,174962,74.0100839,-105.4689601,28.034827398493,"day"
"90",2018-08-04 22:23:00,174962,74.01066052,-105.4815365,27.2232861353874,"day"
"91",2018-08-04 22:38:00,174962,74.01323079,-105.4912329,26.3685485957555,"day"
"92",2018-08-04 22:53:00,174962,74.01109108,-105.5030094,25.4795986569117,"day"
"93",2018-08-04 23:08:00,174962,74.01095048,-105.5181063,24.5575231362635,"day"
"94",2018-08-04 23:23:00,174962,74.01080884,-105.5332029,23.6069759633522,"day"
"95",2018-08-04 23:38:00,174962,74.01066617,-105.5482993,22.6323051481422,"day"
"96",2018-08-04 23:53:00,174962,74.01027347,-105.5581155,21.6364789959254,"day"
"97",2018-08-05 00:08:00,174962,74.00966547,-105.5633729,20.6238702565948,"day"
"98",2018-08-05 00:23:00,174962,74.0113563,-105.5528359,19.5953130444912,"day"
"99",2018-08-05 00:38:00,174962,74.01389156,-105.5364858,18.5582084232533,"day"
"100",2018-08-05 00:53:00,174962,74.0164256,-105.5201306,17.5185001835325,"day"
"101",2018-08-05 01:08:00,174962,74.01308733,-105.5199597,16.4843037336696,"day"
"102",2018-08-05 01:23:00,174962,74.00808851,-105.5227863,15.4555201971856,"day"
"103",2018-08-05 01:38:00,174962,73.9995286,-105.5403758,14.4385665956649,"day"
"104",2018-08-05 01:53:00,174962,73.99876421,-105.55385,13.4344922799112,"day"
"105",2018-08-05 02:08:00,174962,74.00141372,-105.5597137,12.4461787396854,"day"
"106",2018-08-05 02:23:00,174962,74.00406308,-105.5655793,11.4786697970284,"day"
"107",2018-08-05 02:38:00,174962,73.99532892,-105.6174346,10.5420033998226,"day"
"108",2018-08-05 02:53:00,174962,74.00750831,-105.6041387,9.62589203007003,"day"
"109",2018-08-05 03:08:00,174962,74.00851959,-105.6173514,8.74247868463431,"day"
"110",2018-08-05 03:23:00,174962,74.00855365,-105.6213899,7.89073384380413,"day"
"111",2018-08-05 03:38:00,174962,74.00772759,-105.6321523,7.07741635999763,"day"
"112",2018-08-05 03:53:00,174962,74.00646269,-105.6604426,6.30772024812863,"day"
"113",2018-08-05 04:08:00,174962,74.0080474,-105.6960795,5.58439131524545,"day"
"114",2018-08-05 04:23:00,174962,74.00907366,-105.7400441,4.90781274561284,"day"
"115",2018-08-05 04:38:00,174962,74.01025727,-105.7529597,4.27435760837958,"day"
"116",2018-08-05 04:53:00,174962,74.01129931,-105.7734827,3.69323344472241,"day"
"117",2018-08-05 05:08:00,174962,74.01233943,-105.7940082,3.16548706773376,"day"
"118",2018-08-05 05:23:00,174962,74.01337763,-105.8145363,2.6932026404125,"day"
"119",2018-08-05 05:38:00,174962,74.01441392,-105.8350669,2.27826063702935,"day"
"120",2018-08-05 05:53:00,174962,74.00832363,-105.8869267,1.91829031500916,"day"
"121",2018-08-05 06:08:00,174962,73.99947097,-105.9463411,1.6153577757021,"day"
"122",2018-08-05 06:23:00,174962,73.99760495,-105.9638403,1.37709112436395,"day"
"123",2018-08-05 06:38:00,174962,73.99573753,-105.9813355,1.20150613108008,"day"
"124",2018-08-05 06:53:00,174962,73.99626425,-105.9881816,1.09151134569136,"day"
"125",2018-08-05 07:08:00,174962,74.00123883,-105.9752514,1.05017487750329,"day"
"126",2018-08-05 07:23:00,174962,74.00621263,-105.9623135,1.07395711025661,"day"
"127",2018-08-05 07:38:00,174962,74.01118563,-105.9493679,1.16271060213449,"day"
"128",2018-08-05 07:53:00,174962,74.01615784,-105.9364145,1.31601259170199,"day"
"129",2018-08-05 08:08:00,174962,74.02104714,-105.9225755,1.53314632457315,"day"
"130",2018-08-05 08:23:00,174962,74.02536885,-105.902674,1.8131619168917,"day"
"131",2018-08-05 08:38:00,174962,74.02968874,-105.8827622,2.15510326388475,"day"
"132",2018-08-05 08:53:00,174962,74.03400681,-105.86284,2.55750145851391,"day"
"133",2018-08-05 09:08:00,174962,74.03832306,-105.8429076,3.01864808847191,"day"
"134",2018-08-05 09:23:00,174962,74.04263748,-105.8229648,3.53660761988076,"day"
"135",2018-08-05 09:38:00,174962,74.04392511,-105.8116752,4.10538592154404,"day"
"136",2018-08-05 09:53:00,174962,74.03371377,-105.8334594,4.71180863357251,"day"
"137",2018-08-05 10:08:00,174962,74.02422729,-105.8507,5.36948906806128,"day"
"138",2018-08-05 10:23:00,174962,74.02112573,-105.8323633,6.08607549549722,"day"
"139",2018-08-05 10:38:00,174962,74.0229034,-105.8359725,6.84624334572766,"day"
"140",2018-08-05 10:53:00,174962,74.00370265,-105.8834604,7.62521443779025,"day"
"141",2018-08-05 11:08:00,174962,74.0041253,-105.7556135,8.49456279287805,"day"
"142",2018-08-05 11:23:00,174962,73.98647455,-105.6637256,9.38374041648714,"day"
"143",2018-08-05 11:38:00,174962,74.00400258,-105.6951149,10.2932283313987,"day"
"144",2018-08-05 11:53:00,174962,74.02152577,-105.72657,11.2285606967739,"day"
"145",2018-08-05 12:08:00,174962,74.03904411,-105.7580912,12.1862164360198,"day"
"146",2018-08-05 12:23:00,174962,74.04682545,-105.7718763,13.164637565193,"day"
"147",2018-08-05 12:38:00,174962,74.05168066,-105.7803224,14.1602381511857,"day"
"148",2018-08-05 12:53:00,174962,74.05631094,-105.7897077,15.1685434015717,"day"
"149",2018-08-05 13:08:00,174962,74.05759468,-105.8048761,16.184130286214,"day"
"150",2018-08-05 13:23:00,174962,74.05979724,-105.8036128,17.2099085787946,"day"
"151",2018-08-05 13:38:00,174962,74.06199979,-105.8023492,18.2372556491241,"day"
"152",2018-08-05 13:53:00,174962,74.06420233,-105.8010852,19.2620798508857,"day"
"153",2018-08-05 14:08:00,174962,74.06640485,-105.7998209,20.2802234908522,"day"
"154",2018-08-05 14:23:00,174962,74.06747817,-105.7962524,21.2883369876903,"day"
"155",2018-08-05 14:38:00,174962,74.06363092,-105.7826493,22.2854478845049,"day"
"156",2018-08-05 14:53:00,174962,74.06014072,-105.7660756,23.2643119920452,"day"
"157",2018-08-05 15:08:00,174962,74.05773826,-105.7399406,24.221736828806,"day"
"158",2018-08-05 15:23:00,174962,74.05348363,-105.7272362,25.1486496812992,"day"
"159",2018-08-05 15:38:00,174962,74.0511398,-105.7242469,26.0401276531118,"day"
"160",2018-08-05 15:53:00,174962,74.04952209,-105.721834,26.894431793551,"day"
"161",2018-08-05 16:08:00,174962,74.04789977,-105.7178269,27.7080215886737,"day"
"162",2018-08-05 16:23:00,174962,74.04627737,-105.7138204,28.4762212360682,"day"
"163",2018-08-05 16:38:00,174962,74.04465489,-105.7098148,29.1948286655457,"day"
"164",2018-08-05 16:53:00,174962,74.04303234,-105.7058099,29.8597792431799,"day"
"165",2018-08-05 17:08:00,174962,74.04014667,-105.701028,30.4683533206619,"day"
"166",2018-08-05 17:23:00,174962,74.03621814,-105.6956059,31.0167858650876,"day"
"167",2018-08-05 17:38:00,174962,74.03421695,-105.6906982,31.4989288782366,"day"
"168",2018-08-05 17:53:00,174962,74.03387233,-105.6862312,31.9117930756567,"day"
"169",2018-08-05 18:08:00,174962,74.03352762,-105.6817644,32.2541843174935,"day"
"170",2018-08-05 18:23:00,174962,74.03318282,-105.6772977,32.523824056695,"day"
"171",2018-08-05 18:38:00,174962,74.03283793,-105.6728312,32.7188843616957,"day"
"172",2018-08-05 18:53:00,174962,74.03249295,-105.6683649,32.8380209469825,"day"
