datetime,PTT,Lat,Long
2018-08-05 00:08:00,174962,74.00966547,-105.5633729
2018-08-05 00:23:00,174962,74.0113563,-105.5528359
2018-08-05 00:38:00,174962,74.01389156,-105.5364858
2018-08-05 00:53:00,174962,74.0164256,-105.5201306
2018-08-05 01:08:00,174962,74.01308733,-105.5199597
2018-08-05 01:23:00,174962,74.00808851,-105.5227863
2018-08-05 01:38:00,174962,73.9995286,-105.5403758
2018-08-05 01:53:00,174962,73.99876421,-105.55385
2018-08-05 02:08:00,174962,74.00141372,-105.5597137
2018-08-05 02:23:00,174962,74.00406308,-105.5655793
2018-08-05 02:38:00,174962,73.99532892,-105.6174346
2018-08-05 02:53:00,174962,74.00750831,-105.6041387
2018-08-05 03:08:00,174962,74.00851959,-105.6173514
2018-08-05 03:23:00,174962,74.00855365,-105.6213899
2018-08-05 03:38:00,174962,74.00772759,-105.6321523
2018-08-05 03:53:00,174962,74.00646269,-105.6604426
2018-08-05 04:08:00,174962,74.0080474,-105.6960795
2018-08-05 04:23:00,174962,74.00907366,-105.7400441
2018-08-05 04:38:00,174962,74.01025727,-105.7529597
2018-08-05 04:53:00,174962,74.01129931,-105.7734827
2018-08-05 05:08:00,174962,74.01233943,-105.7940082
2018-08-05 05:23:00,174962,74.01337763,-105.8145363
2018-08-05 05:38:00,174962,74.01441392,-105.8350669
2018-08-05 05:53:00,174962,74.00832363,-105.8869267
2018-08-05 06:08:00,174962,73.99947097,-105.9463411
2018-08-05 06:23:00,174962,73.99760495,-105.9638403
2018-08-05 06:38:00,174962,73.99573753,-105.9813355
2018-08-05 06:53:00,174962,73.99626425,-105.9881816
2018-08-05 07:08:00,174962,74.00123883,-105.9752514
2018-08-05 07:23:00,174962,74.00621263,-105.9623135
2018-08-05 07:38:00,174962,74.01118563,-105.9493679
2018-08-05 07:53:00,174962,74.01615784,-105.9364145
2018-08-05 08:08:00,174962,74.02104714,-105.9225755
2018-08-05 08:23:00,174962,74.02536885,-105.902674
2018-08-05 08:38:00,174962,74.02968874,-105.8827622
2018-08-05 08:53:00,174962,74.03400681,-105.86284
2018-08-05 09:08:00,174962,74.03832306,-105.8429076
2018-08-05 09:23:00,174962,74.04263748,-105.8229648
2018-08-05 09:38:00,174962,74.04392511,-105.8116752
2018-08-05 09:53:00,174962,74.03371377,-105.8334594
2018-08-05 10:08:00,174962,74.02422729,-105.8507
2018-08-05 10:23:00,174962,74.02112573,-105.8323633
2018-08-05 10:38:00,174962,74.0229034,-105.8359725
2018-08-05 10:53:00,174962,74.00370265,-105.8834604
2018-08-05 11:08:00,174962,74.0041253,-105.7556135
2018-08-05 11:23:00,174962,73.98647455,-105.6637256
2018-08-05 11:38:00,174962,74.00400258,-105.6951149
2018-08-05 11:53:00,174962,74.02152577,-105.72657
2018-08-05 12:08:00,174962,74.03904411,-105.7580912
2018-08-05 12:23:00,174962,74.04682545,-105.7718763
2018-08-05 12:38:00,174962,74.05168066,-105.7803224
2018-08-05 12:53:00,174962,74.05631094,-105.7897077
2018-08-05 13:08:00,174962,74.05759468,-105.8048761
2018-08-05 13:23:00,174962,74.05979724,-105.8036128
2018-08-05 13:38:00,174962,74.06199979,-105.8023492
2018-08-05 13:53:00,174962,74.06420233,-105.8010852
2018-08-05 14:08:00,174962,74.06640485,-105.7998209
2018-08-05 14:23:00,174962,74.06747817,-105.7962524
2018-08-05 14:38:00,174962,74.06363092,-105.7826493
2018-08-05 14:53:00,174962,74.06014072,-105.7660756
2018-08-05 15:08:00,174962,74.05773826,-105.7399406
2018-08-05 15:23:00,174962,74.05348363,-105.7272362
2018-08-05 15:38:00,174962,74.0511398,-105.7242469
2018-08-05 15:53:00,174962,74.04952209,-105.721834
2018-08-05 16:08:00,174962,74.04789977,-105.7178269
2018-08-05 16:23:00,174962,74.04627737,-105.7138204
2018-08-05 16:38:00,174962,74.04465489,-105.7098148
2018-08-05 16:53:00,174962,74.04303234,-105.7058099
2018-08-05 17:08:00,174962,74.04014667,-105.701028
2018-08-05 17:23:00,174962,74.03621814,-105.6956059
2018-08-05 17:38:00,174962,74.03421695,-105.6906982
2018-08-05 17:53:00,174962,74.03387233,-105.6862312
2018-08-05 18:08:00,174962,74.03352762,-105.6817644
2018-08-05 18:23:00,174962,74.03318282,-105.6772977
2018-08-05 18:38:00,174962,74.03283793,-105.6728312
2018-08-05 18:53:00,174962,74.03249295,-105.6683649
2018-08-05 19:08:00,174962,74.03214787,-105.6638988
2018-08-05 19:23:00,174962,74.03180271,-105.6594329
2018-08-05 19:38:00,174962,74.03210972,-105.6599734
2018-08-05 19:53:00,174962,74.0324211,-105.6605474
2018-08-05 20:08:00,174962,74.03230109,-105.6517838
2018-08-05 20:23:00,174962,74.03128931,-105.6361555
2018-08-05 20:38:00,174962,74.02787004,-105.6085511
2018-08-05 20:53:00,174962,74.02444729,-105.580958
2018-08-05 21:08:00,174962,74.02662695,-105.5477571
2018-08-05 21:23:00,174962,74.02642327,-105.513613
2018-08-05 21:38:00,174962,74.02380532,-105.478245
2018-08-05 21:53:00,174962,74.02380729,-105.4422104
2018-08-05 22:08:00,174962,74.02380337,-105.4061757
2018-08-05 22:23:00,174962,74.0285349,-105.3614016
2018-08-05 22:38:00,174962,74.03017328,-105.3055329
2018-08-05 22:53:00,174962,74.02713684,-105.2504541
2018-08-05 23:08:00,174962,74.02690303,-105.2412222
2018-08-05 23:23:00,174962,74.02690382,-105.2353132
2018-08-05 23:38:00,174962,74.02690444,-105.2294043
2018-08-05 23:53:00,174962,74.02690491,-105.2234954
2018-08-06 00:08:00,174962,74.02690522,-105.2175865
2018-08-06 00:23:00,174962,74.03210422,-105.2069001
2018-08-06 00:38:00,174962,74.04059536,-105.1931765
2018-08-06 00:53:00,174962,74.04375875,-105.1892023
2018-08-06 01:08:00,174962,74.04523716,-105.1858033
2018-08-06 01:23:00,174962,74.04854738,-105.1778913
2018-08-06 01:38:00,174962,74.06085433,-105.1435244
2018-08-06 01:53:00,174962,74.0547281,-105.1954232
2018-08-06 02:08:00,174962,74.0616843,-105.1938591
2018-08-06 02:23:00,174962,74.0568097,-105.2399292
2018-08-06 02:38:00,174962,74.05675304,-105.2603085
